DY,HR,temperature_2m,wind_speed_10m,wind_direction_10m,shortwave_radiation,surface_pressure,temperature_2m_std,wind_speed_10m_std,shortwave_radiation_std,surface_pressure_std,total_distance_m,lat,lon
24,16,29.81666667,15.13333333,295.5,519.5,1006.65,1.188977151,4.953651852,63.82084299,1.157151675,10000,-12.4394371,130.9062213
24,17,29.61666667,12.7,227.1666667,317.1666667,1006.866667,1.208994072,2.536138797,32.05880014,1.116542282,10000,-12.4394371,130.9062213
24,18,28.21666667,9.15,226.3333333,103.3333333,1007.316667,0.837655458,2.800535663,9.309493363,1.151375988,10000,-12.4394371,130.9062213
25,7,21.8,9.05,123.8333333,15.66666667,1010.7,2.043526364,7.210755855,5.316640543,1.286856635,10000,-12.4394371,130.9062213
25,8,23.3,9.7,138.6666667,162.5,1011.2,2.255659549,7.495865527,63.58223022,1.308434179,10000,-12.4394371,130.9062213
25,9,25.76666667,11.03333333,133.8333333,375.5,1011.333333,2.331237154,6.801372411,121.3799819,1.576916823,10000,-12.4394371,130.9062213
25,10,28.23333333,12.65,151.1666667,597.5,1011.283333,2.178684618,5.415440887,94.60179702,1.536771508,10000,-12.4394371,130.9062213
25,11,30.05,14.55,152.5,726.3333333,1010.533333,2.242097233,5.099313679,158.4836479,1.399523729,10000,-12.4394371,130.9062213
25,12,31.35,15.05,151.8333333,808.5,1009.566667,2.171405075,5.802327119,213.1288343,1.350061727,10000,-12.4394371,130.9062213
25,13,31.8,16.2,192.8333333,881.5,1008.383333,1.604992212,4.717202561,102.4631641,1.244856083,10000,-12.4394371,130.9062213
25,14,31.88333333,15.45,190,856.8333333,1007.4,2.179372999,6.668358119,46.64511407,1.161034022,10000,-12.4394371,130.9062213
25,15,31.71666667,9.7,299.6666667,739.3333333,1006.783333,1.928125169,7.886190462,27.77528878,0.962115724,10000,-12.4394371,130.9062213
25,16,30.21666667,13.56666667,279.6666667,550.8333333,1006.483333,1.794900183,3.034908016,26.90291186,0.899814796,10000,-12.4394371,130.9062213
25,17,28.8,13.2,276.1666667,325.8333333,1006.683333,1.887855927,3.057449918,22.33756179,0.915241316,10000,-12.4394371,130.9062213
25,18,27.33333333,10.18333333,220.8333333,105.6666667,1006.933333,1.616993094,1.675012438,5.354126135,1.019149973,10000,-12.4394371,130.9062213
26,7,22.05,10.2,126.1666667,18.83333333,1010.066667,1.612141433,5.053315743,0.752772653,1.320101006,10000,-12.4394371,130.9062213
26,8,23.98333333,10.38333333,136.3333333,192.1666667,1010.566667,1.711626906,5.128515055,6.145459028,1.502886112,10000,-12.4394371,130.9062213
26,9,26.73333333,9.55,137.3333333,426.8333333,1010.65,1.24365054,5.074938423,9.174239296,1.418097317,10000,-12.4394371,130.9062213
26,10,29.08333333,11.16666667,128.3333333,633.5,1010.6,1.140906073,6.372336045,22.81885186,1.398570699,10000,-12.4394371,130.9062213
26,11,30.91666667,11.8,163.8333333,797.5,1009.833333,0.970395109,8.335946257,22.71343215,1.377921139,10000,-12.4394371,130.9062213
26,12,32.06666667,12.26666667,170,899.8333333,1008.816667,0.796659693,6.425470151,14.57966621,1.241638702,10000,-12.4394371,130.9062213
26,13,32.3,12.76666667,202.6666667,922.6666667,1007.716667,1.435270009,8.38991458,16.81269362,1.038107252,10000,-12.4394371,130.9062213
26,14,31.7,15.81666667,244.1666667,868.1666667,1006.533333,2.131666015,5.352164671,16.01769854,0.840634681,10000,-12.4394371,130.9062213
26,15,30.61666667,16.16666667,276.6666667,740,1005.816667,1.749761889,5.132510757,18.67618805,0.828049918,10000,-12.4394371,130.9062213
26,16,30.05,16.26666667,279,556.5,1005.65,1.237335848,2.433652947,13.70766209,0.843208159,10000,-12.4394371,130.9062213
26,17,29.51666667,14.2,167.6666667,331.8333333,1005.8,1.002829331,1.56588633,8.447879418,0.944457516,10000,-12.4394371,130.9062213
26,18,28.21666667,10.18333333,291.8333333,105.5,1006.25,0.870440502,0.696897888,3.834057903,1.087658034,10000,-12.4394371,130.9062213
27,7,22.63333333,9.383333333,101.3333333,19,1009.416667,1.335165408,4.9389945,0.632455532,1.225425096,10000,-12.4394371,130.9062213
27,8,24.63333333,10.41666667,110,190.5,1009.983333,0.840634681,5.296571218,9.311283478,1.202358793,10000,-12.4394371,130.9062213
27,9,27.33333333,10.88333333,89,427.6666667,1010.233333,0.871014734,6.854900923,5.006662228,1.096661601,10000,-12.4394371,130.9062213
27,10,29.6,13.33333333,126.3333333,634.6666667,1010.25,0.729383301,7.881539613,6.831300511,1.139736812,10000,-12.4394371,130.9062213
27,11,31.33333333,14.76666667,121.1666667,792.1666667,1009.45,0.847742099,8.193330621,20.50772212,1.089495296,10000,-12.4394371,130.9062213
27,12,32.5,15.16666667,115.1666667,885.6666667,1008.35,1.088117641,6.760078895,27.47847643,0.956556323,10000,-12.4394371,130.9062213
27,13,33.13333333,15.05,167,910.8333333,1007.183333,1.410909872,5.339569271,27.881296,0.699761864,10000,-12.4394371,130.9062213
27,14,33.03333333,14.76666667,196,857.1666667,1006.1,1.820622604,7.042348093,32.87197388,0.632455532,10000,-12.4394371,130.9062213
27,15,32.13333333,17.41666667,184.3333333,722.1666667,1005.35,2.093481948,4.130577038,60.02471713,0.700713922,10000,-12.4394371,130.9062213
27,16,31.5,16.75,181,549.6666667,1005.033333,1.823184028,3.25499616,27.71762376,0.859457193,10000,-12.4394371,130.9062213
27,17,30.56666667,13.71666667,174.8333333,326,1005.366667,1.211060142,3.17390401,17.42412121,0.861781101,10000,-12.4394371,130.9062213
27,18,28.76666667,11.98333333,102.1666667,106.3333333,1005.866667,0.952190457,3.752021677,2.422120283,0.902588869,10000,-12.4394371,130.9062213
28,7,23.28333333,7.2,133.1666667,20,1009.366667,0.780811544,5.494724743,0.894427191,1.34114379,10000,-12.4394371,130.9062213
28,8,25.18333333,8.3,130.3333333,189.6666667,1010,0.877306484,5.200384601,12.81665583,1.418449858,10000,-12.4394371,130.9062213
28,9,27.46666667,9.9,125.5,418.3333333,1010.316667,0.450185147,6.7539618,20.03663312,1.2655697,10000,-12.4394371,130.9062213
28,10,29.48333333,12.76666667,136.6666667,631.3333333,1010.216667,0.574166062,7.597016958,29.36437751,1.147896627,10000,-12.4394371,130.9062213
28,11,31.15,14.48333333,134.1666667,796.3333333,1009.433333,0.9246621,6.801004828,20.66559137,1.083820403,10000,-12.4394371,130.9062213
28,12,32.35,14.01666667,131,891.3333333,1008.366667,1.273970172,5.307887213,20.63653718,0.987252079,10000,-12.4394371,130.9062213
